NID_ID,STATE,DAM_NAME,OTHER_NAME,HAZARD,EAP,STATE_NAME,COUNTY,NEAR_CITY,DIST_CITY,RIVER,YEAR_COMPL,OWNER,OWN_TYPE,INSP_DATE
OH02403,OH,"SIDNEY SEWAGE LAGOON",NULL,SIGNIFICANT,NULL,OHIO,SHELBY,SIDNEY,NULL,NULL,NULL,"CITY OF SIDNEY","LOCAL GOV'T",NULL
OH02405,OH,"CLAPPER LAKE DAM",NULL,LOW,NULL,OHIO,STARK,"GOODLAND ACRES",5.3,"TR-LITTLE SANDY CREEK",NULL,"MARGARET CLAPPER HARTMANN",PRIVATE,NULL
OH02408,OH,"GONZALEZ LAKE DAM",NULL,LOW,NULL,OHIO,STARK,ONEIDA,NULL,"TR-HUGLE RUN",NULL,"DR. RAUL E. & LUDMILA GONZALEZ",PRIVATE,"1994-06-08 00:00:00"
OH02409,OH,"HART LAKE DAM",NULL,LOW,NULL,OHIO,STARK,MOULTRIE,2.3,"TR-MIDDLE BRANCH SANDY CREEK",1983,"CAPT. ROBERT E. HART, USN (RET.)",PRIVATE,"1990-01-17 00:00:00"
OH02420,OH,"MARKO LAKE DAM",NULL,SIGNIFICANT,NULL,OHIO,STARK,MINERVA,NULL,"TR-SANDY CREEK",1962,"ANTHONY F. MARKO",PRIVATE,"1991-03-07 00:00:00"
OH02421,OH,"MEADOW LAKE DAM",NULL,SIGNIFICANT,NULL,OHIO,STARK,LOUISVILLE,1.5,"TR-E BRANCH NIMISHILLEN CREEK",NULL,"ROBERT W. & JOAN E. KRESS",PRIVATE,"1992-05-26 00:00:00"
OH02425,OH,"PETERSON LAKE DAM",NULL,LOW,NULL,OHIO,STARK,FREDRICKSBURG,NULL,"TR-LITTLE BEECH CREEK",NULL,"JOHN N. & MARY JO PETERSON",PRIVATE,NULL
OH02429,OH,"RUGGLES LAKE DAM",NULL,SIGNIFICANT,NULL,OHIO,STARK,ONEIDA,NULL,"TR-HUGLE RUN",1968,"HARRY RUGGLES",PRIVATE,"1991-02-25 00:00:00"
OH02431,OH,"SHADY HOLLOW POND DAM",NULL,LOW,NULL,OHIO,STARK,LOUISVILLE,NULL,"TR-MUDBROOK CREEK",NULL,"THE SHADY HOLLOW COUNTRY CLUB",PRIVATE,NULL
OH02435,OH,"SPRINGWOOD LAKE DAM",NULL,LOW,NULL,OHIO,STARK,BOLIVAR,7,"TR-TUSCARAWAS RIVER",1989,"SPRINGWOOD LAKE CAMP CLUB POA, INC.",PRIVATE,"1991-11-07 00:00:00"
OH02437,OH,"SUAREZ LAKE DAM",NULL,HIGH,NULL,OHIO,STARK,"CRYSTAL SPRINGS",NULL,"TR-MUDBROOK CREEK",1985,"RICHARD SUAREZ",PRIVATE,"1987-07-21 00:00:00"
OH02439,OH,"THE WILDERNESS LOWER LAKE DAM",NULL,LOW,NULL,OHIO,STARK,BEACHCITY,NULL,"TR-SUGAR CREEK",1966,"THE WILDERNESS CENTER",PRIVATE,NULL
OH02442,OH,"AQUA SPRINGS SWIM CLUB LAKE DAM",NULL,HIGH,NULL,OHIO,SUMMIT,AKRON,NULL,"TR-CUYAHOGA RIVER",NULL,"THE AKRON TURNER CLUB",PRIVATE,"1991-06-20 00:00:00"
OH02445,OH,"BILINOVICH RECREATION AREA LAKE DAM",NULL,LOW,NULL,OHIO,SUMMIT,CLINTON,NULL,"TR-PANCAKE CREEK",NULL,"P L & T PARTNERSHIP",PRIVATE,NULL
OH02446,OH,"REVERE LAKE DAM",NULL,HIGH,NULL,OHIO,SUMMIT,BOTZUM,NULL,"TR-YELLOW CREEK",1954,"JOHN AND NANCY DEMUND",PRIVATE,"1989-12-28 00:00:00"
OH02450,OH,"CROUSE POND DAM",NULL,LOW,NULL,OHIO,SUMMIT,"CANAL FULTON",NULL,"TR-NIMISILA CREEK",NULL,"R.W. CROUSE",PRIVATE,NULL
OH02454,OH,"FLOOD CONTROL DAM",NULL,LOW,NULL,OHIO,SUMMIT,"PORTAGE LAKES",NULL,"TUSCARAWAS RIVER",NULL,"WILLIAM & LYNDA S. PETROCHUK",PRIVATE,"1973-01-18 00:00:00"
OH02455,OH,"LOOMIS LAKE DAM",NULL,LOW,NULL,OHIO,SUMMIT,PENINSULA,NULL,"TR-BOSTON RUN",NULL,"WESTERN RESERVE GIRL SCOUT COUNCIL",PRIVATE,"1993-03-16 00:00:00"
OH02457,OH,"GUND POND NO. 2 DAM",NULL,LOW,NULL,OHIO,SUMMIT,PENINSULA,NULL,"TR-CUYAHOGA RIVER",1970,"AGNES GUND",PRIVATE,"1992-03-11 00:00:00"
OH02462,OH,"HOVAN POND DAM",NULL,LOW,NULL,OHIO,SUMMIT,GHENT,NULL,"TR-NORTH FORK",NULL,"DR. MICHAEL J. & RHONDA E. HOVAN",PRIVATE,NULL
